model,return
Aggressive,107.0872791
Aggressive,111.0367746
Aggressive,115.369237
Aggressive,227.4457438
Aggressive,240.4141247
Aggressive,175.0877948
Aggressive,169.269795
Aggressive,71.14669361
Aggressive,37.59666104
Aggressive,37.10419025
Aggressive,-1.178852955
Aggressive,24.40986358
Aggressive,12.26493359
Aggressive,-100
Aggressive,-100
Aggressive,-59.27185537
Aggressive,-32.03318814
Aggressive,52.01109492
Aggressive,48.95293502
Aggressive,78.00132786
Aggressive,89.00944285
Aggressive,28.01666504
Aggressive,51.93857527
Aggressive,62.31035305
Aggressive,59.88641371
Aggressive,100.3023064
Aggressive,152.4901956
Aggressive,96.05519572
Aggressive,86.24005128
Aggressive,-26.03187442
Aggressive,-77.01260658
Aggressive,-36.71628496
Aggressive,-100
Aggressive,-100
Aggressive,-100
Aggressive,-100
Aggressive,-100
Aggressive,-100
Aggressive,-100
Aggressive,-67.05521592
Aggressive,-13.46909938
Aggressive,13.44506346
Aggressive,91.71437252
Aggressive,119.2137971
Aggressive,115.6347159
Aggressive,128.5670784
Aggressive,93.73626297
Aggressive,94.5109666
Aggressive,65.35893637
Aggressive,47.88933768
Aggressive,32.99712497
Aggressive,18.47278158
Aggressive,15.87132349
Aggressive,12.06572094
Aggressive,13.47279138
Aggressive,-41.3771721
Aggressive,-48.79563828
Aggressive,-33.56878892
Aggressive,-14.38279502
Aggressive,17.73056529
Aggressive,26.28813884
Aggressive,19.09648383
Aggressive,25.65101705
Aggressive,-2.140050353
Aggressive,-3.245379248
Aggressive,45.08017519
Aggressive,90.77729311
Aggressive,77.43053402
Aggressive,97.07966569
Aggressive,98.60772804
Aggressive,83.31928593
Aggressive,78.9202878
Aggressive,72.47894377
Aggressive,93.53866937
Aggressive,84.32949331
Aggressive,77.42800203
Aggressive,61.34343209
Aggressive,89.2833535
Aggressive,106.6793917
Aggressive,71.32413521
Aggressive,73.15879617
Aggressive,36.92387268
Aggressive,30.11437121
Aggressive,66.65831605
Aggressive,67.84017526
Aggressive,48.40388583
Aggressive,86.85074376
Aggressive,58.18093992
Aggressive,16.55662422
Aggressive,4.334082165
Aggressive,-8.706824659
Aggressive,32.45900689
Aggressive,15.88108763
Aggressive,3.334041797
Aggressive,17.40673877
Aggressive,63.91579514
Aggressive,42.11928173
Aggressive,50.92338576
Aggressive,57.61941661
Aggressive,89.19687868
Aggressive,102.6870092
Aggressive,102.1706669
Aggressive,127.3733662
Aggressive,107.1764226
Aggressive,80.2034819
Aggressive,48.33895284
Aggressive,40.65231094
