model,return
Aggressive,-3.9952425
Aggressive,-3.904723
Aggressive,-4.7149655
Aggressive,-5.767729
Aggressive,-4.378798
Aggressive,-3.212857
Aggressive,-3.3810265
Aggressive,-2.584998
Aggressive,-3.104409
Aggressive,-3.4554915
Aggressive,-3.6262875
Aggressive,-3.7775385
Aggressive,-3.8817395
Aggressive,-3.5230795
Aggressive,-2.3005935
Aggressive,-2.803297
Aggressive,-3.448966
Aggressive,-4.134236
Aggressive,-3.6207195
Aggressive,-3.3101645
Aggressive,-4.240496
Aggressive,-5.004585
Aggressive,-5.1639365
Aggressive,-7.2089645
Aggressive,-8.8754735
Aggressive,-8.9120355
Aggressive,-9.667114
Aggressive,-8.770373
Aggressive,-7.77993
Aggressive,-7.3074865
Aggressive,-8.0590775
Aggressive,-7.9527985
Aggressive,-7.0438135
Aggressive,-7.122834
Aggressive,-7.232857
Aggressive,-7.28678
Aggressive,-6.354993
Aggressive,-5.9246215
Aggressive,-5.83409
Aggressive,-6.1680405
Aggressive,-6.913791
Aggressive,-7.737724
Aggressive,-8.2166185
Aggressive,-6.492731
Aggressive,-7.1085735
Aggressive,-6.4721135
Aggressive,-6.1195325
Aggressive,-6.011044
Aggressive,-7.428947
Aggressive,-6.692561
Aggressive,-6.529083
Aggressive,-4.622239
Aggressive,-4.6803205
Aggressive,-4.570515
Aggressive,-3.3358485
Aggressive,-2.868435
Aggressive,-2.6225195
Aggressive,-1.583411
Aggressive,-0.8205005
Aggressive,-1.829314
Aggressive,-1.804849
Aggressive,-2.091508
Aggressive,-2.506967
Aggressive,-3.024405
Aggressive,-3.7671545
Aggressive,-3.0920335
Aggressive,-2.058491
Aggressive,-3.5955535
Aggressive,-3.4832845
Aggressive,-2.7791375
Aggressive,-2.643323
Aggressive,-2.6856155
Aggressive,-1.623252
Aggressive,-2.863982
Aggressive,-2.470038
Aggressive,-1.67443
Aggressive,-0.1885885
Aggressive,0.863834
Aggressive,3.9134785
Aggressive,4.4683455
Aggressive,5.651051
Aggressive,5.8406205
Aggressive,6.5491655
Aggressive,6.231417
Aggressive,5.71961
Aggressive,4.772909
Aggressive,5.979923
Aggressive,7.592179
Aggressive,9.388996
Aggressive,8.849118
Aggressive,8.842347
Aggressive,10.628144
Aggressive,10.7685685
Aggressive,13.428251
Aggressive,15.8825465
Aggressive,16.34181
Aggressive,13.606519
Aggressive,12.4068315
Aggressive,12.189332
Aggressive,12.768196
Aggressive,13.0343155
Aggressive,15.9880745
Aggressive,16.7483725
Aggressive,16.361188
Aggressive,16.9719145
Aggressive,17.5734675
Aggressive,16.28912
Aggressive,15.9284765
Aggressive,19.841292
Aggressive,18.299663
Aggressive,19.13046
Aggressive,19.40308
Aggressive,23.9061525
Aggressive,21.952617
Aggressive,22.0914545
Aggressive,18.992536
Aggressive,19.3652605
Aggressive,19.3675825
Aggressive,19.882723
Aggressive,17.4548885
Aggressive,14.7628775
Aggressive,15.2074545
Aggressive,15.075397
Aggressive,12.3746705
Aggressive,10.7781165
Aggressive,9.47165
Aggressive,11.968448
Aggressive,13.416349
Aggressive,14.407248
Aggressive,14.608416
Aggressive,14.4402415
Aggressive,13.3318255
Aggressive,14.7822155
Aggressive,17.692496
Aggressive,18.352831
Aggressive,17.4304755
Aggressive,16.7528675
Aggressive,17.9030965
Aggressive,18.6491525
Aggressive,17.198918
Aggressive,19.6371925
Aggressive,20.9942555
Aggressive,19.856369
Aggressive,19.727024
Aggressive,17.8494495
Aggressive,11.5212615
Aggressive,10.0335055
Aggressive,8.095768
Aggressive,9.1677995
Aggressive,13.321299
Aggressive,11.6229345
Aggressive,10.5185605
Aggressive,11.059371
Aggressive,12.045419
Aggressive,12.868391
Aggressive,13.874112
Aggressive,11.950786
Aggressive,12.9484845
Aggressive,14.2619875
Aggressive,14.7826585
Aggressive,15.328611
Aggressive,13.063842
Aggressive,12.5825875
Aggressive,10.928322
Aggressive,13.590842
Aggressive,14.6003635
Aggressive,17.6726125
Aggressive,18.7561415
Aggressive,18.203636
Aggressive,14.9101435
Aggressive,16.000377
Aggressive,15.760486
Aggressive,16.27299
Aggressive,17.009198
Aggressive,15.133755
Aggressive,15.957014
Aggressive,15.315708
Aggressive,14.9387255
Aggressive,15.717493
Aggressive,16.6951105
Aggressive,16.5935725
Aggressive,18.5540995
Aggressive,17.951532
Aggressive,18.76744
Aggressive,20.8314815
Aggressive,21.2494105
Aggressive,24.7162175
Aggressive,25.9108695
Aggressive,27.723937
Aggressive,28.441945
Aggressive,26.1873235
Aggressive,27.100462
Aggressive,26.9879085
Aggressive,25.724896
Aggressive,25.7493185
Aggressive,26.4027565
Aggressive,25.3187965
Aggressive,25.4178795
Aggressive,26.205639
Aggressive,26.510353
Aggressive,27.0150685
Aggressive,26.3459495
Aggressive,31.5211275
Aggressive,31.157821
Aggressive,31.4901285
Aggressive,31.462418
Aggressive,32.28463
Aggressive,33.057535
Aggressive,30.4003985
Aggressive,26.899055
Aggressive,30.776684
Aggressive,29.612915
Aggressive,32.461708
Aggressive,27.2705555
Aggressive,29.665686
Aggressive,29.20112
Aggressive,28.8867495
Aggressive,31.045642
Aggressive,31.596698
Aggressive,30.2584765
Aggressive,28.2980905
Aggressive,27.2742255
Aggressive,28.4290045
Aggressive,29.8152575
Aggressive,30.727667
Aggressive,29.278773
Aggressive,29.1403555
Aggressive,28.850902
Aggressive,30.763913
Aggressive,30.575904
Aggressive,32.7831535
Aggressive,30.4802495
Aggressive,29.9022345
Aggressive,30.7001245
Aggressive,27.823917
Aggressive,26.9209305
Aggressive,27.7467585
Aggressive,26.461879
Aggressive,25.349641
Aggressive,25.0337365
Aggressive,26.7633995
Aggressive,27.380459
Aggressive,26.7365345
Aggressive,26.1965895
Aggressive,24.6651855
Aggressive,23.4350715
Aggressive,24.7292795
Aggressive,23.6042045
Aggressive,23.5861325
Aggressive,21.8463695
Aggressive,22.1723885
Aggressive,23.2557165
Aggressive,27.4848895
Aggressive,27.260391
Aggressive,26.5824225
Aggressive,26.439851
Aggressive,25.2898325
Aggressive,23.950523
Aggressive,24.704846
Aggressive,25.364166
Aggressive,27.2124585
Aggressive,26.4726065
Aggressive,25.6259465
Aggressive,25.6736795
Aggressive,27.4414805
Aggressive,26.504549
Aggressive,29.6236595
Aggressive,31.8999955
Aggressive,31.139421
Aggressive,30.333183
Aggressive,29.3283445
Aggressive,28.6493745
Aggressive,27.210648
Aggressive,24.949461
Aggressive,26.1467785
Aggressive,25.9342275
Aggressive,26.1987215
Aggressive,26.111328
Aggressive,26.89702
Aggressive,28.37809
Aggressive,29.754168
Aggressive,28.353874
Aggressive,28.1012475
Aggressive,29.4280045
Aggressive,29.7440295
Aggressive,30.1895625
Aggressive,30.110577
Aggressive,31.9983185
Aggressive,30.927857
Aggressive,30.733571
Aggressive,31.4474345
Aggressive,32.8493295
Aggressive,32.6129255
Aggressive,34.875501
Aggressive,35.060734
Aggressive,36.1436735
Aggressive,35.228629
Aggressive,33.8302965
Aggressive,33.896901
Aggressive,33.0754515
Aggressive,31.2838775
Aggressive,30.582607
Aggressive,30.154052
Aggressive,30.0258245
Aggressive,29.3828275
Aggressive,29.152423
Aggressive,29.344143
Aggressive,30.9034365
Aggressive,31.6330765
Aggressive,32.005051
Aggressive,33.774094
Aggressive,34.8951505
Aggressive,34.3933535
Aggressive,36.6475855
Aggressive,36.188004
Aggressive,36.0106015
Aggressive,35.751362
Aggressive,36.1329235
Aggressive,34.671029
Aggressive,36.169415
Aggressive,34.7729955
Aggressive,33.7954755
Aggressive,32.016138
Aggressive,32.568013
Aggressive,33.576097
Aggressive,30.8095615
Aggressive,29.1918605
Aggressive,29.367814
Aggressive,28.3721025
Aggressive,27.970536
Aggressive,30.751946
Aggressive,31.429141
Aggressive,30.2087285
Aggressive,27.891123
Aggressive,27.3585415
Aggressive,27.4228025
Aggressive,26.443956
Aggressive,27.104675
Aggressive,26.907274
Aggressive,25.745342
Aggressive,25.8384035
Aggressive,24.169328
Aggressive,22.9651655
Aggressive,24.160722
Aggressive,25.803872
Aggressive,25.2527605
Aggressive,25.3765905
Aggressive,24.8623315
Aggressive,23.019086
Aggressive,21.6120175
Aggressive,22.211714
Aggressive,21.8217945
Aggressive,21.7474155
Aggressive,23.2939975
Aggressive,24.109786
Aggressive,21.662484
Aggressive,23.2919405
Aggressive,23.000061
Aggressive,22.725329
Aggressive,22.256107
Aggressive,22.688886
Aggressive,22.5468805
Aggressive,24.0686875
Aggressive,23.50502
Aggressive,23.310485
Aggressive,25.4255665
Aggressive,26.9537355
Aggressive,29.4914635
Aggressive,28.78901
Aggressive,29.5367635
Aggressive,31.8359725
Aggressive,32.267472
Aggressive,34.535025
Aggressive,31.447615
Aggressive,31.531965
Aggressive,30.990605
Aggressive,30.377155
Aggressive,29.835605
Aggressive,31.16903
Aggressive,30.61246
Aggressive,28.923465
Aggressive,29.789065
Aggressive,30.748015
Aggressive,31.156445
Aggressive,32.1395
Aggressive,32.776855
Aggressive,36.81498
Aggressive,35.488125
Aggressive,33.429005
Aggressive,34.13365
Aggressive,33.65558
Aggressive,33.843345
Aggressive,39.09799
Aggressive,43.10514
Aggressive,47.628325
Aggressive,41.03897
Aggressive,40.891895
Aggressive,41.47299
Aggressive,41.69193
Aggressive,42.050405
Aggressive,42.78878
Aggressive,42.57908
Aggressive,42.99925
Aggressive,43.78433
Aggressive,44.42008
Aggressive,43.360265
Aggressive,42.359335
Aggressive,43.25903
Aggressive,45.863605
Aggressive,42.443975
Aggressive,42.30947
Aggressive,38.82549
